Angle,Voltage,Flask
0,0.14,F
10,0.16,F
20,0.17,F
30,0.17,F
40,0.16,F
50,0.14,F
60,0.12,F
70,0.09,F
80,0.06,F
90,0.03,F
0,0.57,B
10,0.74,B
20,0.86,B
30,0.93,B
40,0.97,B
50,0.95,B
60,0.85,B
70,0.73,B
80,0.58,B
90,0.4,B
0,0.15,D
10,0.22,D
20,0.28,D
30,0.35,D
40,0.39,D
50,0.41,D
60,0.39,D
70,0.33,D
80,0.31,D
90,0.25,D
