Angle,Voltage,Flask
0,1.31,F
10,1.5,F
20,1.61,F
30,1.62,F
40,1.53,F
50,1.37,F
60,1.14,F
70,0.87,F
80,0.59,F
90,0.34,F
0,1,B
10,1.22,B
20,1.38,B
30,1.47,B
40,1.46,B
50,1.38,B
60,1.22,B
70,0.99,B
80,0.74,B
90,0.5,B
0,0.7,D
10,0.96,D
20,1.17,D
30,1.3,D
40,1.37,D
50,1.36,D
60,1.28,D
70,1.12,D
80,0.9,D
90,0.67,D
