Angle,Voltage,Flask
0,0.44,F
10,0.51,F
20,0.54,F
30,0.54,F
40,0.51,F
50,0.45,F
60,0.37,F
70,0.28,F
80,0.18,F
90,0.1,F
0,0.17,B
10,0.24,B
20,0.31,B
30,0.37,B
40,0.41,B
50,0.43,B
60,0.42,B
70,0.39,B
80,0.33,B
90,0.26,B
0,0.05,D
10,0.13,D
20,0.25,D
30,0.4,D
40,0.54,D
50,0.68,D
60,0.76,D
70,0.78,D
80,0.83,D
90,0.82,D
