Angle,Voltage,Flask
0,0.15,F
10,0.17,F
20,0.17,F
30,0.18,F
40,0.16,F
50,0.15,F
60,0.12,F
70,0.09,F
80,0.06,F
90,0.03,F
0,0.41,B
10,0.56,B
20,0.69,B
30,0.8,B
40,0.85,B
50,0.85,B
60,0.81,B
70,0.71,B
80,0.59,B
90,0.44,B
0,0.13,D
10,0.25,D
20,0.38,D
30,0.52,D
40,0.61,D
50,0.69,D
60,0.76,D
70,0.79,D
80,0.75,D
90,0.67,D
