Angle,Voltage,Flask
0,0.8,F
10,0.91,F
20,0.97,F
30,0.97,F
40,0.91,F
50,0.81,F
60,0.67,F
70,0.5,F
80,0.34,F
90,0.2,F
0,0.24,B
10,0.38,B
20,0.53,B
30,0.7,B
40,0.82,B
50,0.91,B
60,0.95,B
70,0.93,B
80,0.85,B
90,0.73,B
0,0.5,D
10,0.4,D
20,0.8,D
30,0.15,D
40,0.26,D
50,0.38,D
60,0.5,D
70,0.6,D
80,0.68,D
90,0.72,D
